order,seasonal_order,aic,bic
"(2, 0, 1)","(0, 0, 1, 5)",-3197.4431932999105,-3174.989575627398
"(3, 1, 1)","(0, 0, 1, 5)",-3201.5406356411077,-3174.6054060531555
"(1, 0, 2)","(1, 0, 1, 5)",-3200.590994685622,-3173.6557650976697
"(1, 1, 2)","(0, 0, 1, 5)",-3195.850559209939,-3173.412139117516
"(0, 1, 2)","(1, 0, 1, 5)",-3195.826666924609,-3173.388246832186
"(2, 1, 2)","(0, 0, 1, 5)",-3199.8881886127747,-3172.962084501867
"(2, 1, 1)","(1, 0, 1, 5)",-3197.9679543400175,-3171.0327247520654
"(2, 0, 0)","(1, 0, 1, 5)",-3193.480088791192,-3171.0264711186796
"(0, 1, 3)","(0, 0, 1, 5)",-3191.2731407092215,-3168.842336764501
"(3, 1, 1)","(1, 0, 0, 5)",-3195.453551991178,-3168.5274478802703
"(3, 1, 0)","(1, 0, 1, 5)",-3195.3781950911944,-3168.452090980287
"(2, 1, 3)","(1, 0, 0, 5)",-3198.9677550140314,-3167.543320494754
"(2, 1, 2)","(1, 0, 1, 5)",-3198.7313962365333,-3167.317608107141
"(3, 1, 2)","(0, 0, 1, 5)",-3197.9133145980572,-3166.499526468665
"(1, 1, 2)","(1, 0, 1, 5)",-3193.3945192363735,-3166.468415125466
"(1, 0, 3)","(0, 0, 1, 5)",-3192.6758424369796,-3165.749738326072
"(1, 0, 2)","(0, 0, 1, 5)",-3188.1156407483886,-3165.6696160917622
"(2, 0, 1)","(1, 0, 1, 5)",-3191.850184359439,-3164.905843152424
"(3, 0, 2)","(0, 0, 1, 5)",-3195.6545452826936,-3164.230110763416
"(3, 1, 2)","(1, 0, 0, 5)",-3195.4164133246964,-3164.002625195304
"(1, 1, 3)","(0, 0, 1, 5)",-3190.590771932441,-3163.6738071987766
"(1, 0, 3)","(1, 0, 1, 5)",-3194.142284617269,-3162.728496487877
"(0, 1, 3)","(1, 0, 1, 5)",-3189.0498483567258,-3162.1328836230614
"(3, 1, 1)","(1, 0, 1, 5)",-3193.2736661755907,-3161.8598780461984
"(3, 1, 2)","(1, 0, 1, 5)",-3196.5643061663814,-3160.6628340185043
"(3, 0, 1)","(0, 0, 1, 5)",-3186.9907469951713,-3160.0464057881563
"(3, 0, 0)","(1, 0, 1, 5)",-3186.4011895713006,-3159.4659599833485
