epoch,train_loss,val_loss
1,0.36636918520226197,0.13843758404254913
2,0.10155599936842918,0.05015288293361664
3,0.055458501090898234,0.024091646075248718
4,0.040410911773934084,0.027958061546087265
5,0.04146949859226451,0.03203173726797104
6,0.03544060305199202,0.022623762488365173
7,0.032855529447688776,0.019502297043800354
8,0.030512485653162003,0.019018463790416718
9,0.0289916571448831,0.01907123439013958
10,0.02795968741616782,0.018425963819026947
11,0.02906194723704282,0.01970749720931053
12,0.028754445943324006,0.01681423932313919
13,0.027210458181798458,0.016174107789993286
14,0.02790052109562299,0.019111528992652893
15,0.026306122048374486,0.016133200377225876
16,0.026416885063928718,0.016179468482732773
17,0.024971157805446315,0.014845529571175575
18,0.02652776307042907,0.01536866370588541
19,0.0254365951370667,0.01699499785900116
20,0.02685610095367712,0.016997704282402992
21,0.026592689237612134,0.015069117769598961
22,0.026240415268522853,0.017400523647665977
23,0.0264532118487884,0.019667688757181168
24,0.026211666710236493,0.01697882078588009
25,0.02546200969749514,0.016866659745573997
26,0.02494690813781584,0.014911668375134468
27,0.024961411733837688,0.015451564453542233
28,0.025991434779237297,0.014835823327302933
29,0.024620928856379846,0.0158923901617527
30,0.02470186188378755,0.01804254949092865
31,0.024428249117644393,0.01585947908461094
32,0.025121537475463224,0.01553554181009531
33,0.02445841975071851,0.015002583153545856
34,0.025288216167074794,0.015064348466694355
35,0.024858751279466292,0.015006083995103836
36,0.024740338599418894,0.016691308468580246
37,0.02519793068880544,0.015836680307984352
38,0.024430083823116386,0.014542088843882084
39,0.024345084203078467,0.015379621647298336
40,0.023719263975234592,0.0171795766800642
41,0.02572203701471581,0.015776673331856728
42,0.024044014075223136,0.01642216369509697
43,0.02428631462595042,0.015047495253384113
44,0.02445846954908441,0.016620425507426262
45,0.02443290003301466,0.015053490176796913
46,0.024806830265066204,0.015900306403636932
47,0.024457146851893735,0.015055762603878975
48,0.026023677605039933,0.015144811943173409
49,0.02505666943376555,0.015347498469054699
50,0.024392022039083874,0.015375209040939808
